#{"t_start": 1780062163.6849408, "env_id": "None"}
r,l,t
1264.859702,300,1.15805
1880.574403,300,1.250179
1341.060719,300,1.346969
1184.16712,300,4.362398
1728.340771,300,8.308721
1617.873906,300,12.30228
1187.476361,300,16.382564
2099.108961,300,20.372841
1218.43959,300,24.481386
1134.426113,300,28.521197
2055.515183,300,32.415876
1502.4132,300,36.431866
1739.242546,300,40.460978
1025.385896,300,44.556809
1827.690396,300,48.434627
1723.982104,300,52.154594
1988.581361,300,56.1722
1177.298929,300,60.056096
1959.906695,300,63.941523
1905.363262,300,67.883709
1066.183921,300,71.838426
1486.268977,300,75.773058
1868.423813,300,79.718678
1725.251466,300,83.880632
1438.03808,300,88.164998
1211.731214,300,91.711755
1221.035404,300,95.70758
1568.513281,300,99.845096
1834.455978,300,103.805096
1704.860437,300,107.824533
1532.278319,300,111.688149
1848.784534,300,115.590161
1335.30256,300,119.481667
1735.870797,300,123.692595
1321.602391,300,127.653273
1245.959967,300,131.858701
1431.404363,300,135.908944
1071.837266,300,139.914407
1291.999895,300,143.998594
1711.747288,300,147.94399
1404.532091,300,151.770742
1636.0711,300,155.745383
1369.384531,300,159.61411
1130.81311,300,163.662024
1284.375535,300,167.728807
1073.691477,300,171.769735
2071.841026,300,175.940419
2063.012735,300,179.910481
1319.489213,300,183.989841
1813.301458,300,187.871794
1271.916181,300,191.781467
1294.238043,300,195.234577
1916.648089,300,199.033112
1102.644522,300,203.119197
1837.90305,300,207.092903
1510.073106,300,211.17494
959.515355,300,215.265732
1544.877083,300,219.318688
1928.277889,300,223.243613
1052.121575,300,227.202489
1726.847272,300,231.284425
1055.608727,300,235.084795
1102.104917,300,239.172636
1740.232828,300,242.677578
1008.518617,300,246.097507
1525.057785,300,250.234924
1583.746599,300,254.346964
1328.385469,300,258.180964
1599.394285,300,262.229947
1492.3421,300,266.197301
2034.794369,300,270.445097
1955.11893,300,274.367897
1497.288627,300,278.346251
1512.191997,300,282.160902
1884.692237,300,286.325702
1041.428217,300,290.2136
1520.081605,300,294.143823
1808.990647,300,298.176589
1035.524067,300,302.119485
1422.723112,300,306.128176
1324.64225,300,310.168907
1247.747113,300,314.181329
1612.014252,300,318.11249
1344.783196,300,321.997919
1127.735831,300,325.965537
1221.662462,300,329.925049
1930.527889,300,333.641728
1140.712022,300,337.725909
1112.378677,300,341.694895
1283.51224,300,345.916139
1459.265194,300,349.939489
1231.120886,300,353.886887
1454.88807,300,357.961534
1431.386075,300,362.054596
1755.476614,300,366.123563
1527.601475,300,370.326032
1871.301409,300,374.233183
1790.079404,300,378.268091
1352.556621,300,382.283778
1025.495782,300,386.193732
1349.247803,300,389.924965
1432.514624,300,393.956581
2136.045815,300,397.980473
1947.770219,300,401.927726
1852.846591,300,406.012112
1852.340612,300,410.297525
2208.642702,300,414.281267
1871.370209,300,417.648422
1751.982633,300,421.450856
1293.911505,300,425.478145
2113.397783,300,429.542924
1815.328826,300,433.560432
2034.904194,300,437.314081
1328.993045,300,441.254148
1394.682214,300,445.110934
1516.583229,300,449.15201
2160.680797,300,453.301116
1661.570444,300,457.343995
1487.338522,300,461.392912
1424.178231,300,465.499563
1448.303893,300,469.783034
1175.500311,300,473.836843
1286.184244,300,477.746487
1468.918881,300,481.651888
2201.884485,300,485.637572
1917.174093,300,489.60472
1421.557404,300,493.452692
1311.974619,300,497.104792
2123.238956,300,501.07577
1674.942982,300,505.194003
1525.364638,300,509.318397
2145.311066,300,513.346941
1741.623602,300,517.472715
1446.045749,300,521.603549
1883.260908,300,525.476113
1363.30379,300,529.400589
1342.462601,300,533.267226
1370.402392,300,537.160304
1456.497876,300,541.164112
1386.734885,300,545.19562
1772.896172,300,549.191166
2017.643341,300,553.240148
1442.11864,300,557.020869
2192.26633,300,560.944386
2044.37009,300,564.936618
1709.652323,300,568.701983
1571.169966,300,572.864492
1152.684014,300,576.781499
1994.263084,300,580.768828
1933.690792,300,584.724448
1949.3927,300,588.772007
1207.527502,300,592.893053
1377.978152,300,597.049042
1108.631707,300,601.11229
1430.047294,300,605.097804
1602.285179,300,609.259349
1422.551758,300,613.343515
1991.805554,300,617.466325
2064.748811,300,621.437957
2243.518232,300,625.457164
1500.316297,300,629.494919
1284.735547,300,633.503451
1479.616584,300,637.543807
1964.46917,300,641.47169
1669.382246,300,645.28936
2204.295595,300,649.136926
2000.333834,300,653.041159
1335.867333,300,656.68568
1467.896878,300,660.890208
1943.706683,300,664.90088
1345.841837,300,668.777965
1640.271698,300,672.713794
2068.925617,300,676.732468
2095.187676,300,680.716285
1413.598947,300,684.518948
1730.352484,300,688.356078
1259.472984,300,691.974095
2069.600202,300,696.062485
1252.329638,300,700.198886
1627.138736,300,704.020159
1938.984477,300,708.165893
1938.321281,300,712.165732
1982.536351,300,716.273129
1886.435379,300,720.431412
1092.824292,300,724.661232
1072.117206,300,728.128191
1730.296877,300,732.170546
1809.167945,300,736.142527
1550.742338,300,740.084112
2211.106237,300,743.938649
1796.962509,300,747.823175
1518.94446,300,751.583705
1995.748784,300,755.575173
2042.151796,300,759.043222
2157.929307,300,763.082722
2094.241014,300,766.66885
1501.56038,300,770.769674
1607.646186,300,774.477854
1540.838453,300,778.304127
1277.195312,300,782.310489
1932.726925,300,786.424854
1872.091486,300,790.493915
1110.392019,300,794.628466
1675.559766,300,798.643579
1662.357818,300,802.890718
1383.581808,300,806.937431
1190.901382,300,811.044069
1904.560165,300,815.005814
1399.007102,300,819.03864
2142.08683,300,822.292273
1054.436398,300,826.259752
1930.800185,300,829.958704
1791.681837,300,833.723691
1069.441513,300,837.693594
1395.047261,300,841.59103
1945.363327,300,845.582389
1294.731685,300,849.470391
2147.92485,300,853.430539
1926.817749,300,857.498805
1890.520015,300,861.586669
2089.110352,300,865.54111
1815.815859,300,869.625971
1708.424912,300,873.714611
1765.538825,300,877.68823
1560.385232,300,881.713467
1775.955595,300,885.813959
2077.205481,300,890.004841
1094.281013,300,893.829446
1437.071477,300,897.531028
1508.647128,300,901.548133
1486.852493,300,905.727
1576.571791,300,909.506214
1274.474938,300,913.451359
2123.044545,300,917.455261
2204.380961,300,921.338942
1862.942123,300,924.989133
1148.081821,300,928.886586
1147.85233,300,932.850677
1180.470656,300,936.825383
1254.983933,300,940.885735
2114.275023,300,945.009667
1828.508024,300,949.197954
1583.176213,300,953.286824
1258.673266,300,957.315093
1783.676997,300,961.370383
1306.281961,300,965.526436
1372.170675,300,969.527911
1617.51453,300,973.624599
1414.367801,300,977.739382
1269.210884,300,981.672534
1866.332046,300,985.397869
1151.85831,300,989.460327
1709.464459,300,993.441485
1144.737254,300,997.451868
1035.116808,300,1001.532192
1343.961877,300,1005.450169
1422.274295,300,1009.425054
2014.199288,300,1013.346543
2161.36798,300,1017.352912
2184.752803,300,1021.347479
1573.605369,300,1025.350736
1893.662524,300,1029.307136
