time/fps,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/n_updates,train/ent_coef_loss,time/episodes,train/critic_loss,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss
109,300.0,0.0003,27,1999,-1.0140254497528076,10,0.005704271141439676,0.5490419268608093,3000,1465.6327646,-5.410695552825928
89,300.0,0.0003,66,4999,-2.529402256011963,20,0.0010820908937603235,0.2231927067041397,6000,1578.0853609,-7.909657955169678
84,300.0,0.0003,106,7999,-4.059039115905762,30,0.00046267895959317684,0.09074664860963821,9000,1556.2156596333334,-8.345640182495117
81,300.0,0.0003,146,10999,-5.608841896057129,40,0.0002946334716398269,0.036907464265823364,12000,1530.331429225,-8.092876434326172
80,300.0,0.0003,186,13999,-7.05232048034668,50,0.00021434560767374933,0.015007132664322853,15000,1527.5953888999998,-7.558750629425049
79,300.0,0.0003,226,16999,-8.486944198608398,60,0.0001672021026024595,0.006114390213042498,18000,1513.2997389666668,-6.989646911621094
79,300.0,0.0003,265,19999,-9.57441520690918,70,7.96228414401412e-05,0.0025045827496796846,21000,1499.431756242857,-6.423306465148926
78,300.0,0.0003,305,22999,-9.255666732788086,80,9.291354945162311e-05,0.001048037433065474,24000,1508.4132093125002,-5.9309186935424805
78,300.0,0.0003,344,25999,-5.440869331359863,90,3.7058518500998616e-05,0.0004802662006113678,27000,1489.097474188889,-5.639595985412598
77,300.0,0.0003,385,28999,-1.3348058462142944,100,4.04591228289064e-05,0.00026746507501229644,30000,1489.1794420699998,-5.220203399658203
77,300.0,0.0003,424,31999,0.6717529296875,110,2.6327163141104393e-05,0.0002433792978990823,33000,1519.58289274,-4.992009162902832
77,300.0,0.0003,464,34999,-0.6089248061180115,120,2.873863559216261e-05,0.00025413278490304947,36000,1519.9056698700003,-4.722436904907227
77,300.0,0.0003,504,37999,0.10296845436096191,130,3.294073394499719e-05,0.00025043103960342705,39000,1528.9548428399999,-4.559523105621338
77,300.0,0.0003,544,40999,-0.8045151233673096,140,0.0001338753936579451,0.00025933151482604444,42000,1540.2970441100003,-4.383957386016846
77,300.0,0.0003,583,43999,0.3160344362258911,150,2.7745729312300682e-05,0.00025373295648023486,45000,1566.93946887,-4.26432466506958
76,300.0,0.0003,624,46999,-0.838270366191864,160,1.846529630711302e-05,0.0002691677655093372,48000,1586.7421888299996,-4.081653594970703
76,300.0,0.0003,663,49999,-0.8462492227554321,170,8.460531716991682e-06,0.0003070795501116663,51000,1613.62600451,-3.9924492835998535
76,300.0,0.0003,702,52999,0.20429009199142456,180,1.2254807188583072e-05,0.00030089321080595255,54000,1621.5248646199998,-3.922048330307007
76,300.0,0.0003,742,55999,-0.35062187910079956,190,2.821124144247733e-05,0.00030713342130184174,57000,1660.19302913,-3.9021379947662354
76,300.0,0.0003,781,58999,-0.5568792223930359,200,2.1839136024937034e-05,0.0002944861480500549,60000,1686.5334958400001,-3.732938528060913
76,300.0,0.0003,821,61999,-0.5484421849250793,210,8.184836588043254e-06,0.0003116822335869074,63000,1672.29942172,-3.718977451324463
76,300.0,0.0003,860,64999,-0.33818191289901733,220,1.2975779100088403e-05,0.00031744185253046453,66000,1667.3904970700003,-3.7303214073181152
76,300.0,0.0003,900,67999,-0.9287218451499939,230,1.037766196532175e-05,0.00030254802550189197,69000,1675.41805713,-3.629734516143799
76,300.0,0.0003,939,70999,1.0987462997436523,240,9.269848305848427e-06,0.0002819579094648361,72000,1671.4045379699999,-3.6347570419311523
76,300.0,0.0003,980,73999,-0.3380146622657776,250,2.8606713385670446e-05,0.0002943550352938473,75000,1648.5755441899996,-3.582329750061035
76,300.0,0.0003,1020,76999,-0.11128155887126923,260,1.0033399121311959e-05,0.00028530138661153615,78000,1644.9313265,-3.537463665008545
76,300.0,0.0003,1059,79999,0.4778901934623718,270,6.7552959990280215e-06,0.00030958958086557686,81000,1648.9413723999996,-3.520258903503418
76,300.0,0.0003,1097,82999,-0.2447894811630249,280,2.163555836887099e-05,0.0003037417191080749,84000,1636.23249318,-3.5230066776275635
76,300.0,0.0003,1136,85999,-0.6323717832565308,290,1.0434438991069328e-05,0.0003037124697584659,87000,1632.3266897400003,-3.4758129119873047
76,300.0,0.0003,1176,88999,-0.5231688022613525,300,1.8195838492829353e-05,0.0003144795773550868,90000,1623.5137980299996,-3.4352176189422607
76,300.0,0.0003,1216,91999,-0.2707374095916748,310,2.676309122762177e-05,0.00031208645668812096,93000,1630.2035061100003,-3.449139356613159
76,300.0,0.0003,1255,94999,-0.7147495150566101,320,6.9502229962381534e-06,0.00030603178311139345,96000,1622.6491255900003,-3.414168119430542
76,300.0,0.0003,1293,97999,1.2621814012527466,330,6.472087079600897e-06,0.0003223735257051885,99000,1624.52799391,-3.4451169967651367
76,300.0,0.0003,1331,100999,0.3518020510673523,340,7.832921255612746e-06,0.0003328923776280135,102000,1635.6629778299998,-3.4756033420562744
76,300.0,0.0003,1371,103999,0.38417720794677734,350,4.285173417883925e-06,0.0003318859089631587,105000,1639.80013074,-3.510531425476074
76,300.0,0.0003,1411,106999,0.6607459783554077,360,6.295135790423956e-06,0.0003381011192686856,108000,1637.3094201200001,-3.436192750930786
76,300.0,0.0003,1451,109999,-1.3347489833831787,370,4.739032192446757e-06,0.00034698983654379845,111000,1619.9890196699998,-3.421761989593506
76,300.0,0.0003,1491,112999,0.4493316113948822,380,4.275371793482918e-06,0.0003548588720150292,114000,1655.1737069700002,-3.4642295837402344
76,300.0,0.0003,1531,115999,-0.3657737970352173,390,1.4237008144846186e-05,0.00036600511521101,117000,1651.7647183600002,-3.412036418914795
76,300.0,0.0003,1570,118999,-0.5972932577133179,400,3.90087461710209e-06,0.000376649375539273,120000,1644.7028208299996,-3.446591854095459
76,300.0,0.0003,1610,121999,-1.8352593183517456,410,1.0628284144331701e-05,0.00038899670471437275,123000,1630.8861831500003,-3.443629264831543
76,300.0,0.0003,1650,124999,-0.38251784443855286,420,3.921047209587414e-06,0.0003950688405893743,126000,1637.23916049,-3.443584442138672
76,300.0,0.0003,1690,127999,-0.7717019319534302,430,1.2337630323600024e-05,0.000403542973799631,129000,1635.89269193,-3.4559147357940674
76,300.0,0.0003,1728,130999,0.344247967004776,440,1.4718334568897262e-05,0.0004056536126881838,132000,1637.4871729199995,-3.432882785797119
76,300.0,0.0003,1767,133999,-1.5019981861114502,450,3.891941105393926e-06,0.00041358795715495944,135000,1640.4455483000002,-3.370002269744873
76,300.0,0.0003,1807,136999,0.9773809909820557,460,5.561621946981177e-06,0.00042176697752438486,138000,1660.8214916199995,-3.4202470779418945
76,300.0,0.0003,1848,139999,1.3466815948486328,470,4.9205718823941424e-06,0.00042448550811968744,141000,1661.73223675,-3.415518045425415
76,300.0,0.0003,1888,142999,-0.46137329936027527,480,3.1220827167999232e-06,0.00042776623740792274,144000,1639.3996463299998,-3.4800362586975098
76,300.0,0.0003,1927,145999,0.42015522718429565,490,3.2457248835271457e-06,0.00042508120532147586,147000,1633.86434098,-3.4573233127593994
76,300.0,0.0003,1968,148999,-0.4486837387084961,500,2.6703412459028186e-06,0.00042510899947956204,150000,1650.7056779,-3.403757095336914
