#{"t_start": 1780067405.1669965, "env_id": "None"}
r,l,t
1553.009991,300,1.073572
2104.886986,300,1.198765
1925.107999,300,1.33788
1674.826434,300,4.342363
1825.652934,300,8.224665
2469.339048,300,12.175452
1746.755804,300,15.549468
1687.759525,300,19.041471
2245.622263,300,22.859457
1082.402542,300,26.916488
973.620778,300,30.908029
2419.167163,300,34.628727
2182.689974,300,37.835685
2031.437541,300,41.342009
1670.37164,300,45.248908
1500.219772,300,48.924993
1583.842301,300,52.565544
1843.051044,300,56.502537
2158.655339,300,60.039208
1242.307669,300,63.796063
1355.373491,300,67.461354
2248.468124,300,71.362141
2091.872592,300,75.148333
1472.285309,300,79.223266
1636.099287,300,83.219728
1587.599737,300,86.985027
1900.363908,300,90.909671
1854.994341,300,94.67535
1707.277003,300,98.72501
1362.722472,300,102.088852
1579.350522,300,104.986207
1463.496766,300,108.899454
1690.840621,300,112.578272
1808.857867,300,116.267272
1956.808708,300,120.087018
912.443985,300,123.779444
1435.759536,300,127.28915
1688.174604,300,131.035949
2322.864272,300,134.737779
1771.75066,300,138.688859
1186.392512,300,142.523175
962.588026,300,146.419057
2112.535248,300,150.250829
2017.819333,300,153.895873
1821.211671,300,157.512489
1477.591669,300,161.24172
2394.340041,300,165.181792
2160.863025,300,169.000615
2026.176946,300,172.804887
1439.300033,300,175.39358
1670.993346,300,179.227444
2204.94539,300,183.020561
2115.598033,300,186.523027
915.321859,300,190.23277
2050.956875,300,193.31598
1853.150918,300,197.313294
2303.570935,300,200.940832
1774.640437,300,204.732718
1967.550432,300,208.541608
1755.836112,300,212.328427
1670.974312,300,215.987574
1743.3261,300,219.773849
2261.693813,300,223.689431
888.62284,300,227.427339
2236.562002,300,231.221959
1737.859407,300,235.139292
1810.620109,300,239.170635
2255.192229,300,243.027155
1890.798625,300,247.10579
2341.796277,300,250.821309
2236.574946,300,254.402889
2057.731181,300,257.731202
2109.663092,300,261.411596
1673.538233,300,265.1895
2055.048139,300,269.184897
1400.941186,300,272.804051
1917.733025,300,276.468841
2223.202461,300,280.502464
2216.177592,300,284.402751
1215.068492,300,288.29406
1569.225348,300,292.021766
2128.4336,300,295.899316
1988.937484,300,299.389735
1427.697943,300,302.857884
2139.146549,300,306.466462
1110.729024,300,310.563173
1642.553048,300,314.379922
1829.526147,300,318.294306
1503.668103,300,321.89466
2274.781945,300,325.665756
2381.044543,300,329.647837
2109.795369,300,333.561786
1550.373471,300,337.499628
1531.990977,300,341.478133
1555.401761,300,344.032866
1876.626119,300,347.680145
2285.383252,300,351.501304
2035.885581,300,355.197775
1712.580533,300,359.095168
2497.509497,300,363.142545
1805.37611,300,367.20648
2223.456716,300,370.869757
1511.389272,300,374.651959
2103.135001,300,377.729667
1814.164149,300,381.263208
1234.096971,300,385.006034
1378.968118,300,389.067211
1391.425543,300,392.956231
2158.5593,300,396.782928
1856.866033,300,400.894519
1514.762463,300,404.539767
1798.936807,300,408.372765
2153.70301,300,411.65984
1443.093711,300,415.315957
1875.718024,300,419.070921
1382.633133,300,422.764241
1747.755823,300,425.6926
1429.775415,300,429.53254
1330.80843,300,433.400468
1944.024953,300,437.537476
2022.268566,300,441.209155
2206.071116,300,444.900765
1468.929177,300,448.641799
1568.537758,300,452.383852
1518.538286,300,456.07215
1745.129466,300,460.19365
1752.147514,300,464.178584
2111.750846,300,467.9638
1940.805231,300,471.59754
1577.914553,300,475.466676
1500.044237,300,479.264653
1884.61992,300,483.411158
2174.164536,300,487.051995
1935.948515,300,490.690797
1566.459201,300,494.352747
1856.749384,300,498.192669
2208.526179,300,501.850133
1598.157164,300,505.58697
2462.721813,300,509.60872
2293.317332,300,513.25165
1988.797119,300,517.24636
2093.35393,300,521.144025
2043.165463,300,525.254087
2037.534123,300,528.978059
1271.64941,300,532.897685
1705.3013,300,536.697827
2157.406774,300,540.886873
1555.000627,300,544.924178
2405.142144,300,548.81824
2103.874173,300,552.062855
2032.237153,300,556.055183
2059.537897,300,560.055971
2241.646615,300,564.062947
2492.238531,300,567.95063
1558.420479,300,571.892382
2422.967577,300,575.983181
2297.173117,300,579.957186
1688.272445,300,583.240846
2041.12761,300,585.469118
1817.354593,300,589.219366
2454.860284,300,593.265129
2002.696063,300,597.216888
1418.754223,300,601.367701
2488.812002,300,605.384733
2094.539181,300,609.329149
1871.579233,300,613.367483
1847.713668,300,617.487481
1551.290604,300,621.456788
2254.123452,300,625.264949
2059.690726,300,629.323322
2355.108751,300,633.461746
1800.976446,300,637.421694
1364.599898,300,641.506353
1785.500437,300,645.558623
1668.934007,300,649.379905
2312.990047,300,653.009306
2344.732435,300,656.934398
2014.074749,300,660.810554
2279.258824,300,664.885953
1519.961052,300,668.926266
2244.482666,300,672.887466
2111.142798,300,676.903556
2494.270137,300,680.926725
2230.387551,300,684.884784
1811.274699,300,688.97792
2534.288284,300,692.863869
2447.927577,300,696.751595
1692.705517,300,700.835207
2248.33755,300,704.217998
1452.863623,300,707.455602
1628.810459,300,711.148438
1407.408697,300,715.224274
1912.775351,300,719.273718
1662.91625,300,723.107463
2012.019676,300,727.218098
1110.138678,300,731.110786
2045.838027,300,734.493074
1286.880968,300,738.393874
2222.355812,300,742.317521
1983.790547,300,746.117558
1932.541642,300,750.042132
1776.217055,300,753.765965
2200.383341,300,757.816518
2005.318958,300,761.781903
1552.602815,300,765.466549
1100.608455,300,769.444616
2401.008766,300,773.260222
1767.91069,300,777.202271
2287.796296,300,780.883248
2020.960903,300,784.718684
1669.718228,300,788.721171
1565.612044,300,792.442555
1749.452121,300,796.301609
1921.341654,300,799.77375
2251.186107,300,803.465503
1868.705052,300,807.498501
1449.827112,300,810.953324
1502.449799,300,814.205379
2103.783494,300,817.842811
2170.450304,300,821.705967
1983.996257,300,825.289656
2380.07482,300,828.849281
1925.101353,300,832.906555
1983.053454,300,836.912956
1557.781839,300,840.571193
1795.870675,300,844.332621
2342.630437,300,848.31878
1473.309158,300,851.296942
1575.797506,300,855.238884
2101.920076,300,858.95949
1453.601548,300,862.740628
2218.163157,300,866.079391
1051.072733,300,869.839681
2267.060418,300,873.631465
1892.924403,300,877.465909
1788.243992,300,880.866758
2538.255449,300,884.620129
1814.847105,300,888.237005
2402.047236,300,892.033555
1304.789572,300,895.832573
2302.405237,300,899.560552
2354.615997,300,903.271372
1530.000391,300,906.842077
2184.610926,300,910.730474
1939.055779,300,914.240299
2300.243997,300,918.072598
2066.486179,300,921.760382
1903.698834,300,925.57941
2352.690204,300,929.358877
1535.558711,300,933.117528
1994.349293,300,937.020902
2181.896668,300,940.678188
1995.490615,300,944.284207
2109.137077,300,947.818671
1587.005807,300,951.607095
1036.869823,300,955.182924
1654.068006,300,958.986934
