scenario,seed,fault_type,cumulative_reward,mean_temp,max_temp,mean_fan,mean_fault_magnitude,max_fault_magnitude,warning_entries,critical_entries,controller,episode
baseline,2000,bias,-10.899999999999999,68.38533877947489,71.38923329257965,60.0,5.0,5.0,0,0,mpc_rc,1
baseline,2001,bias,175.04251982663135,61.90095861834336,63.33245228481293,59.9998513285319,5.0,5.0,0,0,mpc_rc,2
baseline,2002,bias,-10.899999999999999,69.85507970055897,73.06769001941682,60.0,5.0,5.0,0,0,mpc_rc,3
baseline,2003,bias,-0.08354878654480924,66.60896334260941,69.82321757125854,60.0,5.0,5.0,0,0,mpc_rc,4
baseline,2004,bias,-10.899999999999999,68.82524732546489,71.73451815357208,60.0,4.999998569488525,4.999998092651367,0,0,mpc_rc,5
baseline,2005,bias,261.2196832404808,60.46553954250082,63.589344877052305,59.83986948649088,5.000001430511475,5.000001907348633,0,0,mpc_rc,6
baseline,2006,bias,109.88029337120057,62.98699511047998,64.81823661174774,60.0,5.000001430511475,5.000001907348633,0,0,mpc_rc,7
baseline,2007,bias,-10.899999999999999,69.89217541557312,72.85064257030487,60.0,5.0,5.0,0,0,mpc_rc,8
baseline,2008,bias,178.56360114753065,61.85069401332347,65.33933993721008,59.99914783477783,5.0,5.0,0,0,mpc_rc,9
baseline,2009,bias,398.3543701720999,58.1801354083837,61.18338212795258,59.81384936014811,4.999998569488525,4.999998092651367,0,0,mpc_rc,10
baseline,2000,bias,987.1170448224319,48.56039257722812,71.05084005141258,59.99999429066976,5.0,5.0,0,0,mpc_rcnn,1
baseline,2001,bias,893.8553283271115,49.920762589813,63.13876115036011,59.9968842569987,5.0,5.0,0,0,mpc_rcnn,2
baseline,2002,bias,1026.070622638324,48.003871103812465,72.69707552056313,59.99998182932536,5.0,5.0,0,0,mpc_rcnn,3
baseline,2003,bias,1121.000171297995,46.238161432430374,69.47549673962592,59.99995553334554,5.0,5.0,0,0,mpc_rcnn,4
baseline,2004,bias,535.5602608274343,56.19105310263287,71.48126010408401,59.99998764038086,4.999998569488525,4.999998092651367,0,0,mpc_rcnn,5
baseline,2005,bias,669.8317777617948,53.65447042533951,63.463564652252195,59.9999905649821,5.000001430511475,5.000001907348633,0,0,mpc_rcnn,6
baseline,2006,bias,198.72620299129005,61.506229951187855,64.78362733867168,59.99999972025553,5.000001430511475,5.000001907348633,0,0,mpc_rcnn,7
baseline,2007,bias,961.5964006400892,49.076508095610095,72.49571550731659,59.999988085428875,5.0,5.0,0,0,mpc_rcnn,8
baseline,2008,bias,1411.2398036724437,41.29781636258163,64.9826209499836,59.97474934895833,5.0,5.0,0,0,mpc_rcnn,9
baseline,2009,bias,816.8148009546903,51.204753376854796,61.054360900592805,59.99998977661133,4.999998569488525,4.999998092651367,0,0,mpc_rcnn,10
baseline,2000,bias,-3.04754376411438,69.6605224609375,75.51271057128906,30.79096824010213,5.0,5.0,0,0,rl_rc,1
baseline,2001,bias,111.42481994628906,63.082969665527344,63.336639404296875,32.20681232452392,5.0,5.0,0,0,rl_rc,2
baseline,2002,bias,-3.1197283267974854,71.07701873779297,73.07211303710938,31.205158716837566,5.0,5.0,0,0,rl_rc,3
baseline,2003,bias,-3.150634288787842,67.87470245361328,77.78888702392578,31.360832303365072,5.0,5.0,0,0,rl_rc,4
baseline,2004,bias,-2.946089744567871,70.12371063232422,74.14241027832031,30.17694480895996,4.999998569488525,4.999998092651367,0,0,rl_rc,5
baseline,2005,bias,193.10726928710938,61.76222610473633,68.91474914550781,30.209188912709553,5.000001430511475,5.000001907348633,0,0,rl_rc,6
baseline,2006,bias,41.21404266357422,64.28023529052734,68.51054382324219,30.100041955312093,5.000001430511475,5.000001907348633,0,0,rl_rc,7
baseline,2007,bias,-3.113816261291504,71.10377502441406,72.85491943359375,31.175984344482423,5.0,5.0,0,0,rl_rc,8
baseline,2008,bias,116.2782974243164,63.06703186035156,75.6678237915039,32.68075065612793,5.0,5.0,0,0,rl_rc,9
baseline,2009,bias,330.477294921875,59.508216857910156,77.41151428222656,30.231849594116213,4.999998569488525,4.999998092651367,0,0,rl_rc,10
baseline,2000,bias,894.328369140625,50.37568283081055,73.58108520507812,26.104665088653565,5.0,5.0,0,0,rl_rcnn,1
baseline,2001,bias,995.5133056640625,48.47317886352539,70.5867919921875,25.938081092834473,5.0,5.0,0,0,rl_rcnn,2
baseline,2002,bias,923.109619140625,50.0484504699707,79.62954711914062,25.98857426961263,5.0,5.0,0,0,rl_rcnn,3
baseline,2003,bias,1021.0047607421875,48.16476058959961,70.65532684326172,25.925203278859456,5.0,5.0,0,0,rl_rcnn,4
baseline,2004,bias,578.4833374023438,55.69266891479492,71.47795867919922,26.325137513478598,4.999998569488525,4.999998092651367,0,0,rl_rcnn,5
baseline,2005,bias,735.279296875,52.80224609375,75.80977630615234,26.444741217295327,5.000001430511475,5.000001907348633,0,0,rl_rcnn,6
baseline,2006,bias,314.4942626953125,59.73746109008789,64.77648162841797,26.608431657155354,5.000001430511475,5.000001907348633,0,0,rl_rcnn,7
baseline,2007,bias,876.5838623046875,50.79523849487305,72.53350830078125,26.048346881866454,5.0,5.0,0,0,rl_rcnn,8
baseline,2008,bias,1347.9686279296875,42.609493255615234,65.02438354492188,25.879813944498697,5.0,5.0,0,0,rl_rcnn,9
baseline,2009,bias,889.132080078125,50.23624801635742,72.74549102783203,26.267367471059163,4.999998569488525,4.999998092651367,0,0,rl_rcnn,10
