scenario,seed,fault_type,cumulative_reward,mean_temp,max_temp,mean_fan,mean_fault_magnitude,max_fault_magnitude,warning_entries,critical_entries,controller,episode
baseline,2000,noise,-10.899999999999999,68.38533877947489,71.38923329257965,60.0,1.634010672569275,6.08099365234375,0,0,mpc_rc,1
baseline,2001,noise,175.0385530636755,61.90104427357228,63.33245228481293,59.99643798828125,1.6645091772079468,5.775714874267578,0,0,mpc_rc,2
baseline,2002,noise,-10.899999999999999,69.85507970055897,73.06769001941682,60.0,1.5696128606796265,5.815864562988281,0,0,mpc_rc,3
baseline,2003,noise,-0.08354878654480924,66.60896334260941,69.82321757125854,60.0,1.5183742046356201,6.101657867431641,0,0,mpc_rc,4
baseline,2004,noise,-10.899999999999999,68.82524732546489,71.73451815357208,60.0,1.563388466835022,5.942359924316406,0,0,mpc_rc,5
baseline,2005,noise,261.2394597043479,60.46451783349609,63.589344877052305,59.96953234354655,1.5922802686691284,5.663700103759766,0,0,mpc_rc,6
baseline,2006,noise,109.87882511024475,62.987025505892426,64.81823661174774,59.998958333333334,1.780996322631836,6.919300079345703,0,0,mpc_rc,7
baseline,2007,noise,-10.899999999999999,69.89217541557312,72.85064257030487,60.0,1.7434557676315308,6.537528991699219,0,0,mpc_rc,8
baseline,2008,noise,178.54910321732862,61.85100322840118,65.33933993721008,59.987166010538736,1.5872933864593506,6.078880310058594,0,0,mpc_rc,9
baseline,2009,noise,398.031457586291,58.186106876743324,61.18338212795258,59.717076276143395,1.6091786623001099,5.641368865966797,0,0,mpc_rc,10
baseline,2000,noise,987.115361571724,48.560453355879,71.05083968873024,59.99431082407634,1.6340104341506958,6.08099365234375,0,0,mpc_rcnn,1
baseline,2001,noise,893.8560946476066,49.920773250372235,63.13876115036011,59.992853190104164,1.6645092964172363,5.7757110595703125,0,0,mpc_rcnn,2
baseline,2002,noise,1026.0683724039552,48.003916634110276,72.69707552056313,59.99859013875326,1.5696130990982056,5.815864562988281,0,0,mpc_rcnn,3
baseline,2003,noise,1121.0001598594408,46.23816144080681,69.47549673962592,59.99998686472575,1.518373966217041,6.101657867431641,0,0,mpc_rcnn,4
baseline,2004,noise,535.5602598904072,56.191053107365384,71.48126010408401,59.99998956044515,1.5633882284164429,5.942359924316406,0,0,mpc_rcnn,5
baseline,2005,noise,669.8343636437781,53.6544359173024,63.463564652252195,59.99851448059082,1.5922800302505493,5.663700103759766,0,0,mpc_rcnn,6
baseline,2006,noise,198.72620558501754,61.50622995383715,64.78362733867168,59.99999186197917,1.780996322631836,6.919300079345703,0,0,mpc_rcnn,7
baseline,2007,noise,961.5975429695909,49.0765003926745,72.49571550731659,59.99781312306722,1.7434557676315308,6.537525177001953,0,0,mpc_rcnn,8
baseline,2008,noise,1411.240877599558,41.297726831176554,64.9826209499836,59.98698567708333,1.5872933864593506,6.078880310058594,0,0,mpc_rcnn,9
baseline,2009,noise,816.8146858829964,51.2047552905965,61.054360900592805,59.999990463256836,1.6091786623001099,5.641368865966797,0,0,mpc_rcnn,10
baseline,2000,noise,-3.3989577293395996,69.77406311035156,75.08248901367188,28.120690161387127,1.634010672569275,6.08099365234375,0,0,rl_rc,1
baseline,2001,noise,103.66993713378906,63.2105598449707,63.336700439453125,29.222618211110433,1.6645092964172363,5.775714874267578,0,0,rl_rc,2
baseline,2002,noise,-3.4129061698913574,71.23861694335938,75.95820617675781,28.232344640096027,1.5696128606796265,5.815864562988281,0,0,rl_rc,3
baseline,2003,noise,-3.453732490539551,67.93560028076172,69.8272933959961,28.530128269195558,1.5183742046356201,6.101657867431641,0,0,rl_rc,4
